ti_id	ti_d	ti_my	ti_y	ti_f	a1_	a1_name	a1_country	a1_knowngroup	a1_ethnic	a1_religion1	a1_religion2	a1_type1	a1_type2	a1_type3	a2_	a2_name	a2_country	a2_knowngroup	a2_ethnic	a2_religion1	a2_religion2	a2_type1	a2_type2	a2_type3	ac_isrootevent	ac_event	ac_eventbase	ac_eventroot	ac_quadclass	ac_goldsteinscale	ac_nummentions	ac_numsources	ac_numarticles	ac_avgtone	a1_geo_type	a1_geo_fullname	a1_geo_country	a1_geo_adm1	a1_geo_lat	a1_geo_long	a1_geo_featureid	a2_geo_type	a2_geo_fullname	a2_geo_country	a2_geo_adm1	a2_geo_lat	a2_geo_long	a2_geo_featureid	ac_geo_type	ac_geo_fullname	ac_geo_country	ac_geo_adm1	ac_geo_lat	ac_geo_long	ac_geo_featureid	da_dateadded	da_sourceurl
295958463	2004-05-06 00:00:00	200405	2004	2004.3452	CHNMED	CHINESE	CHN					MED			CHN	CHINA	CHN								0	51	51	5	1	3.4	6	1	6	3.14685314685	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20140504	http://www.nation.co.ke/news/Uhuru-Li-visit-to-boost-growth/-/1056/2303844/-/110q1edz/-/index.html
295958704	2013-05-04 00:00:00	201305	2013	2013.3397	CHN	XINJIANG	CHN								CHNGOV	XI JINPING	CHN					GOV			1	43	43	4	1	2.8	40	2	40	1.21227954868	4	Xinjiang, Jiangxi, China	CH	CH03	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	27.7481	116.274	11065838	20140504	http://uk.reuters.com/article/2014/05/05/uk-china-xinjiang-idUKKBN0DL02220140505?feedType=RSS&feedName=worldNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Reuters%2FUKWorldNews+%28News+%2F+UK+%2F+World+News%29
295958719	2013-05-04 00:00:00	201305	2013	2013.3397	CHNGOV	XI JINPING	CHN					GOV			CHN	XINJIANG	CHN								1	42	42	4	1	1.9	40	2	40	1.21227954868	4	Xinjiang, Jiangxi, China	CH	CH03	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	27.7481	116.274	11065838	20140504	http://uk.reuters.com/article/2014/05/05/uk-china-xinjiang-idUKKBN0DL02220140505?feedType=RSS&feedName=worldNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Reuters%2FUKWorldNews+%28News+%2F+UK+%2F+World+News%29
295961278	2014-05-03 00:00:00	201405	2014	2014.337	CHN	XINJIANG	CHN								CHNUIG	XINJIANG	CHN								0	42	42	4	1	1.9	1	1	1	1.94552529183	1	South Korea	KS	KS	37.0	127.5	KS	1	South Korea	KS	KS	37.0	127.5	KS	1	South Korea	KS	KS	37.0	127.5	KS	20140504	http://english.cntv.cn/2014/05/04/VIDE1399191119355253.shtml
295961279	2014-05-03 00:00:00	201405	2014	2014.337	CHN	XINJIANG	CHN								CHNUIG	XINJIANG	CHN								0	80	80	8	2	5.0	1	1	1	1.94552529183	1	South Korea	KS	KS	37.0	127.5	KS	1	South Korea	KS	KS	37.0	127.5	KS	1	South Korea	KS	KS	37.0	127.5	KS	20140504	http://english.cntv.cn/2014/05/04/VIDE1399191119355253.shtml
295961287	2014-05-03 00:00:00	201405	2014	2014.337	CHNUIG	XINJIANG	CHN								CHN	XINJIANG	CHN								0	43	43	4	1	2.8	1	1	1	1.94552529183	1	South Korea	KS	KS	37.0	127.5	KS	1	South Korea	KS	KS	37.0	127.5	KS	1	South Korea	KS	KS	37.0	127.5	KS	20140504	http://english.cntv.cn/2014/05/04/VIDE1399191119355253.shtml
295961288	2014-05-03 00:00:00	201405	2014	2014.337	CHNUIG	XINJIANG	CHN								CHN	XINJIANG	CHN								0	80	80	8	2	5.0	1	1	1	1.94552529183	1	China	CH	CH	35.0	105.0	CH	1	China	CH	CH	35.0	105.0	CH	1	South Korea	KS	KS	37.0	127.5	KS	20140504	http://english.cntv.cn/2014/05/04/VIDE1399191119355253.shtml
295977181	2014-05-04 00:00:00	201405	2014	2014.3397	CHN	CHINA	CHN								CHNBUS	CHINA	CHN					BUS			1	46	46	4	1	7.0	8	1	8	1.5625	1	China	CH	CH	35.0	105.0	CH	1	China	CH	CH	35.0	105.0	CH	1	China	CH	CH	35.0	105.0	CH	20140504	http://www.scmp.com/news/china/article/1504539/legal-fate-zhou-yongkang-vexes-leadership
295977182	2014-05-04 00:00:00	201405	2014	2014.3397	CHN	CHINA	CHN								CHNBUS	CHINA	CHN					BUS			1	46	46	4	1	7.0	2	1	2	1.5625	1	China	CH	CH	35.0	105.0	CH	1	China	CH	CH	35.0	105.0	CH	1	Hong Kong	HK	HK	22.25	114.167	HK	20140504	http://www.scmp.com/news/china/article/1504539/legal-fate-zhou-yongkang-vexes-leadership
295977183	2014-05-04 00:00:00	201405	2014	2014.3397	CHN	CHINESE	CHN								CHNBUS	CHINESE	CHN					BUS			1	114	114	11	3	-2.0	12	1	12	2.29098724244	1	China	CH	CH	35.0	105.0	CH	1	China	CH	CH	35.0	105.0	CH	1	China	CH	CH	35.0	105.0	CH	20140504	http://www.stuff.co.nz/national/politics/10007952/Pressure-on-Collins-following-outburst
295977184	2014-05-04 00:00:00	201405	2014	2014.3397	CHN	CHINA	CHN								CHNCVL	CHINA	CHN					CVL			1	26	26	2	1	4.0	10	1	10	1.75	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	20140504	http://www.scmp.com/business/china-business/article/1504563/travel-trade-calls-shake-meet-mainland-china-tourist-boom
295977185	2014-05-04 00:00:00	201405	2014	2014.3397	CHN	CHINA	CHN								CHNCVL	CHINA	CHN					CVL			1	42	42	4	1	1.9	10	1	10	1.75	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	31.2222	121.458	-1924465	20140504	http://www.scmp.com/business/china-business/article/1504563/travel-trade-calls-shake-meet-mainland-china-tourist-boom
295977186	2014-05-04 00:00:00	201405	2014	2014.3397	CHN	CHINA	CHN								CHNCVL	CHINA	CHN					CVL			1	43	43	4	1	2.8	10	1	10	2.41379310345	4	Xinjiang, Jiangxi, China	CH	CH03	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	27.7481	116.274	11065838	20140504	http://www.ecns.cn/2014/05-04/112182.shtml
295977187	2014-05-04 00:00:00	201405	2014	2014.3397	CHN	CHINA	CHN								CHNCVL	CHINA	CHN					CVL			1	46	46	4	1	7.0	8	1	8	1.5625	4	Tumen, Henan, China	CH	CH09	33.4898	112.539	10522780	4	Tumen, Henan, China	CH	CH09	33.4898	112.539	10522780	4	Tumen, Henan, China	CH	CH09	33.4898	112.539	10522780	20140504	http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20140504000054&cid=1103&c=bf5vrdkn5o7D_E_zwXxR0a4YCIaVFF_hkquhlaw3T3M&mkt=en-us
295977188	2014-05-04 00:00:00	201405	2014	2014.3397	CHN	CHINA	CHN								CHNEDU	CHINA	CHN					EDU			1	43	43	4	1	2.8	24	5	24	6.1093907894	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Peking, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20140504	http://www.womenofchina.cn/html/womenofchina/report/172687-1.htm
